ID1, ID2, Size of 1, Size of 2, MCS Size
2519, 52790494, 14, 29, 6
2519, 61561031, 14, 19, 8
2519, 37285639, 14, 25, 5
2519, 13041372, 14, 18, 6
2519, 68742355, 14, 23, 3
2519, 17679549, 14, 29, 6
2519, 33039448, 14, 26, 8
2519, 56075847, 14, 32, 6
2519, 58685014, 14, 17, 6
2519, 45094499, 14, 16, 3
2519, 48826350, 14, 27, 7
2519, 33554626, 14, 23, 5
2519, 33709847, 14, 36, 13
2519, 21960503, 14, 20, 3
2519, 40242343, 14, 27, 8
2519, 70334086, 14, 32, 7
2519, 11772449, 14, 26, 8
2519, 1185411, 14, 26, 5
2519, 12891779, 14, 18, 5
2519, 16523035, 14, 30, 6
2519, 41013647, 14, 26, 7
2519, 40099516, 14, 30, 6
2519, 47478534, 14, 20, 7
2519, 37707024, 14, 27, 8
2519, 5370767, 14, 22, 5
2519, 33307105, 14, 25, 7
2519, 30129100, 14, 30, 5
2519, 58694713, 14, 36, 9
2519, 58694713, 14, 36, 9
2519, 55065205, 14, 19, 4
5212, 52790494, 33, 29, 14
5212, 61561031, 33, 19, 8
5212, 37285639, 33, 25, 10
5212, 13041372, 33, 18, 12
5212, 68742355, 33, 23, 8
5212, 17679549, 33, 29, 9
5212, 33039448, 33, 26, 9
5212, 56075847, 33, 32, 11
5212, 58685014, 33, 17, 8
5212, 45094499, 33, 16, 9
5212, 48826350, 33, 27, 11
5212, 33554626, 33, 23, 11
5212, 33709847, 33, 36, 10
5212, 21960503, 33, 20, 5
5212, 40242343, 33, 27, 14
5212, 70334086, 33, 32, 10
5212, 11772449, 33, 26, 11
5212, 1185411, 33, 26, 10
5212, 12891779, 33, 18, 11
5212, 16523035, 33, 30, 14
5212, 41013647, 33, 26, 11
5212, 40099516, 33, 30, 9
5212, 47478534, 33, 20, 11
5212, 37707024, 33, 27, 10
5212, 5370767, 33, 22, 10
5212, 33307105, 33, 25, 11
5212, 30129100, 33, 30, 12
5212, 58694713, 33, 36, 12
5212, 58694713, 33, 36, 12
5212, 55065205, 33, 19, 13
