From https://github.com/ndaniels/MolSearch
   f6eecb0..192b19d  smsd       -> origin/smsd
Updating f6eecb0..192b19d
Fast-forward
 build/edu/mit/csail/fmcsj/AbstractMCS.class |  Bin 2082 -> 2082 bytes
 build/jar/Ammolite.jar                      |  Bin 126630 -> 126628 bytes
 src/edu/mit/csail/fmcsj/AbstractMCS.java    |    2 +-
 3 files changed, 1 insertion(+), 1 deletion(-)
[H[JScanning 30_random_molecules.sdf
Finished Scanning after 780 milliseconds
Finished closing files after 780 milliseconds
Decompressing 30.adb
29 clusters
Calculating pairwise distances for 29 clusters
Using 20 threads
Done calculating pairwise distances. Took 16850 milliseconds, 326888 in MCS
Time breakdown:
0 Time 1300 Dist 0.6666666666666666
1 Time 2360 Dist 0.40625
2 Time 5345 Dist 0.4166666666666667
3 Time 1889 Dist 0.5909090909090909
4 Time 1932 Dist 0.4642857142857143
5 Time 1953 Dist 0.4375
6 Time 1889 Dist 0.5454545454545454
7 Time 2173 Dist 0.48148148148148145
8 Time 2753 Dist 0.36363636363636365
9 Time 2317 Dist 0.5217391304347826
10 Time 1451 Dist 0.5909090909090909
11 Time 1728 Dist 0.5769230769230769
12 Time 2108 Dist 0.4375
13 Time 1576 Dist 0.5652173913043478
14 Time 1119 Dist 0.5909090909090909
15 Time 1624 Dist 0.30434782608695654
16 Time 1530 Dist 0.38461538461538464
17 Time 2379 Dist 0.20588235294117646
18 Time 1888 Dist 0.4090909090909091
19 Time 1898 Dist 0.36363636363636365
20 Time 760 Dist 0.34782608695652173
21 Time 467 Dist 0.42857142857142855
22 Time 376 Dist 0.38461538461538464
23 Time 726 Dist 0.20588235294117646
24 Time 139 Dist 0.631578947368421
25 Time 345 Dist 0.36363636363636365
26 Time 137 Dist 0.34782608695652173
27 Time 104 Dist 0.625
28 Time 492 Dist 0.4230769230769231
29 Time 1220 Dist 0.34375
30 Time 1479 Dist 0.2972972972972973
31 Time 604 Dist 0.4074074074074074
32 Time 663 Dist 0.4230769230769231
33 Time 446 Dist 0.4074074074074074
34 Time 411 Dist 0.2222222222222222
35 Time 180 Dist 0.2222222222222222
36 Time 42 Dist 0.47368421052631576
37 Time 75 Dist 0.36
38 Time 275 Dist 0.18181818181818182
